disease,description,success
sideroblastic anemia,"sideroblastic anemia, a disorder in which the bone marrow produces abnormal ringed sideroblasts due to impaired incorporation of iron into hemoglobin, leading to ineffective red blood cell production.",True
echinococcus granulosus infectious disease,"echinococcus granulosus infectious disease, a parasitic zoonosis also known as cystic echinococcosis or hydatid disease, occurs when humans ingest eggs from the dog tapeworm Echinococcus granulosus, leading to slowly growing fluid-filled cysts in organs such as the liver and lungs.",True
mycetoma,"mycetoma, a chronic, progressive subcutaneous infection caused by soil-derived bacteria or fungi that form painless masses, sinus tracts, and grains and may eventually involve deeper tissues and bones.",True
pancytopenia,"pancytopenia, a condition characterized by abnormally low levels of red blood cells, white blood cells, and platelets that can result from factors affecting bone marrow function such as infections, medications, cancers, or autoimmune diseases.",True
intracranial arteriosclerosis,"intracranial arteriosclerosis, a condition marked by plaque buildup in the brain's arteries that narrows the vessels and reduces blood flow, thereby elevating the risk of ischemic stroke.",True
malignant non-dysgerminomatous germ cell tumor of ovary,"malignant non-dysgerminomatous germ cell tumor of ovary, a rare malignant ovarian cancer arising from germ cells that typically presents unilaterally in adolescents with a pelvic mass, systemic symptoms such as fever and vaginal bleeding, and may involve hormonal manifestations depending on the tumor subtype.",True
anorexia nervosa,"anorexia nervosa, an eating disorder characterized by self-imposed food restriction, distorted body image, and an intense fear of weight gain that leads to dangerously low body weight.",True
anaplastic oligodendroglioma,"anaplastic oligodendroglioma, a rare and aggressive WHO grade III brain tumor originating from oligodendrocytes that typically presents with seizures and is managed through surgery, radiation, and chemotherapy.",True
hereditary neurocutaneous angioma,"hereditary neurocutaneous angioma, is a rare autosomal dominant disorder characterized by multiple angiomatous lesions on the skin and central nervous system.",True
endogenous depression,"endogenous depression, a subtype of major depressive disorder arising from internal genetic and biological factors without clear external triggers and typically managed with similar treatments as other forms of depression.",True
Hirschsprung disease-type D brachydactyly syndrome,"Hirschsprung disease-type D brachydactyly syndrome, a rare genetic disorder characterized by Hirschsprung disease and the absence or underdevelopment of the nails and distal phalanges of the thumbs and great toes.",True
neoplasm of esophagus,"neoplasm of esophagus, a malignant tumor arising from the esophageal lining that progresses from early asymptomatic stages to advanced disease with potential local invasion and distant metastasis.",True
humoral hypercalcemia of malignancy,"humoral hypercalcemia of malignancy, is a cancer-associated syndrome primarily resulting from tumor secretion of parathyroid hormone-related peptide (PTHrP) that increases osteoclastic bone resorption and elevates blood calcium levels.",True
albinism,"albinism, a genetic disorder that reduces or eliminates melanin production, resulting in little or no pigmentation in the skin, hair, and eyes and frequently leading to vision problems and increased sensitivity to sunlight.",True
toxic epidermal necrolysis,"toxic epidermal necrolysis, a life-threatening condition marked by extensive blistering and peeling of the skin and mucous membranes, typically triggered by adverse reactions to medications.",True
adenocarcinoma of liver and intrahepatic biliary tract,"adenocarcinoma of liver and intrahepatic biliary tract, a rare hepatic and biliary tumor originating in the intrahepatic bile ducts that displays atypical histological and immunohistochemical features resembling both hepatocellular carcinoma and cholangiocarcinoma.",True
squamous cell carcinoma of colon,"squamous cell carcinoma of colon, an extremely rare and aggressive cancer accounting for less than 1% of colorectal malignancies with limited data to guide treatment strategies.",True
steatorrhea (disease),"steatorrhea (disease), a condition characterized by the excessive excretion of dietary fat in the stool—resulting in pale, bulky, and foul-smelling feces—due to malabsorption often linked to pancreatic, celiac, or liver disorders.",True
mycotic endocarditis,"mycotic endocarditis, a rare but severe infection of the heart’s inner lining predominantly caused by fungal pathogens like Candida and Aspergillus, poses significant morbidity and mortality risks, especially in patients with prosthetic valves or compromised immune systems.",True
arthropathy,"arthropathy, a joint disease that may or may not involve inflammation and can result from factors such as infections, blood disorders, and metabolic conditions, encompasses a range of conditions including arthritis, facet arthropathy, diabetic arthropathy, and spondyloarthritis.",True
denture stomatitis,"denture stomatitis, a common inflammatory condition of the oral mucosa beneath dentures caused by Candida overgrowth often linked to poor denture hygiene.",True
trichuriasis,"trichuriasis, a parasitic disease caused by the human whipworm Trichuris trichiura that infects the large intestine when contaminated food or soil is ingested and can result in abdominal pain, diarrhea, anemia, and stunted growth.",True
obsolete classic mast cell leukemia,"obsolete classic mast cell leukemia, a rare and aggressive variant of systemic mastocytosis defined by ≥20% immature mast cells in the bone marrow that often leads to rapid clinical deterioration and poor prognosis.",True
