disease,count,top1_disease,top2_disease,top3_disease,top4_disease,top5_disease,top1_mesh,top2_mesh,top3_mesh,top4_mesh,top5_mesh
HBS1L Mutation,1,Sickle Cell Trait,Hemoglobin SC Disease,beta-Thalassemia,"Tay-Sachs Disease, AB Variant","Hypobetalipoproteinemia, Familial, Apolipoprotein B",D012805,D006450,D017086,D049290,D052476
Steroid-Induced Osteonecrosis of The Femoral Head,1,Femur Head Necrosis,Osteoradionecrosis,Bisphosphonate-Associated Osteonecrosis of the Jaw,Osteitis,Osteochondritis,D005271,D010025,D059266,D010000,D010007
Transitional Cell Tumor,1,"Carcinoma, Transitional Cell",Sertoli Cell Tumor,Urethral Neoplasms,Tracheal Neoplasms,Ureteral Neoplasms,D002295,D012707,D014523,D014134,D014516
Niemann-Pick Disease,1,"Niemann-Pick Disease, Type A","Niemann-Pick Disease, Type B","Niemann-Pick Disease, Type C",Pick Disease of the Brain,Jervell-Lange Nielsen Syndrome,D052536,D052537,D052556,D020774,D029593
Complete Androgen Insensitivity Syndrome,1,Androgen-Insensitivity Syndrome,"46, XX Testicular Disorders of Sex Development",Neonatal Abstinence Syndrome,Obesity Hypoventilation Syndrome,Jacobsen Distal 11q Deletion Syndrome,D013734,D058531,D009357,D010845,D054868
Tuberous Sclerosis Complex,1,Tuberous Sclerosis,"Epilepsy, Complex Partial",Sclerosis,AIDS Dementia Complex,Hippocampal Sclerosis,D014402,D017029,D012598,D015526,D000092223
Nephrosclerosis,1,Nephrosclerosis,Diabetic Nephropathies,Nephrogenic Fibrosing Dermopathy,"Nephrosis, Lipoid",Nephrocalcinosis,D009400,D003928,D054989,D009402,D009397
Cytomegalovirus Infection,1,Cytomegalovirus Retinitis,Rotavirus Infections,Papillomavirus Infections,"Adenovirus Infections, Human",Infectious Mononucleosis,D017726,D012400,D030361,D000258,D007244
Skin Fibroma,1,Fibromuscular Dysplasia,"Fibroma, Desmoplastic",Dermatofibrosarcoma,"Fibroma, Ossifying","Fibromatosis, Aggressive",D005352,D018220,D018223,D018214,D018222
Constrictive Pericarditis,1,"Pericarditis, Constrictive","Pericarditis, Tuberculous",Pericoronitis,Pericardial Effusion,"Constriction, Pathologic",D010494,D010495,D010497,D010490,D003251
Metabolically Healthy Obesity,1,"Obesity, Metabolically Benign",Metabolic Syndrome,Obesity Hypoventilation Syndrome,"Obesity, Morbid","Obesity, Maternal",D000067329,D024821,D010845,D009767,D000079262
Severe COVID-19,1,Post-Acute COVID-19 Syndrome,Severe Dengue,Severe Acute Respiratory Syndrome,Severe Combined Immunodeficiency,Severe Fever with Thrombocytopenia Syndrome,D000094024,D019595,D045169,D016511,D000085142
Kidney Oncocytoma,1,Pheochromocytoma,Nephrosclerosis,"Carcinoma, Renal Cell",Medullary Sponge Kidney,Onchocerciasis,D010673,D009400,D002292,D007691,D009855
Invasive Lobular Carcinoma,1,"Carcinoma, Lobular","Carcinoma, Ductal, Breast","Carcinoma, Pancreatic Ductal",Breast Carcinoma In Situ,"Carcinoma, Papillary",D018275,D018270,D021441,D000071960,D002291
Hepatic Hemangioma,1,Hemangioblastoma,Hemangiosarcoma,Hepatoblastoma,"Hemangioma, Cavernous, Central Nervous System","Hemangioendothelioma, Epithelioid",D018325,D006394,D018197,D020786,D018323
Pheochromocytomas And Paragangliomas,1,Pheochromocytoma,Craniopharyngioma,"Histiocytoma, Benign Fibrous","Histiocytoma, Malignant Fibrous",Parathyroid Neoplasms,D010673,D003397,D018219,D051677,D010282
Mycobacterium Tuberculosis,1,"Tuberculosis, Miliary","Tuberculosis, Bovine","Tuberculosis, Meningeal","Tuberculosis, Male Genital","Tuberculosis, Pleural",D014391,D014380,D014390,D014389,D014396
Retinal Detachment,1,Retinal Detachment,Vitreous Detachment,Retinal Degeneration,Retinal Dysplasia,Retinal Hemorrhage,D012163,D020255,D012162,D015792,D012166
Ovarian Clear Cell Adenocarcinoma,1,"Adenocarcinoma, Clear Cell","Carcinoma, Ovarian Epithelial","Carcinoma, Renal Cell","Sarcoma, Clear Cell","Carcinoma, Endometrioid",D018262,D000077216,D002292,D018227,D018269
Tibial Muscular Dystrophy,1,Myotonic Dystrophy,"Muscular Dystrophy, Duchenne",Tibial Meniscus Injuries,Posterior Tibial Tendon Dysfunction,Medial Tibial Stress Syndrome,D009223,D020388,D000070600,D037081,D058923
Chronic (Viral) Hepatitis B,1,"Hepatitis B, Chronic","Hepatitis C, Chronic","Hepatitis D, Chronic","Chemical and Drug Induced Liver Injury, Chronic",Hepatitis A,D019694,D019698,D019701,D056487,D006506
Lymphoplasmacytic Lymphoma,1,Plasmablastic Lymphoma,Composite Lymphoma,"Lymphohistiocytosis, Hemophagocytic","Lymphoma, B-Cell, Marginal Zone","Lymphoma, Mantle-Cell",D000069293,D058617,D051359,D018442,D020522
Calcified Aortic Valve,1,Quadricuspid Aortic Valve,Aortic Valve Insufficiency,Aortic Coarctation,Bicuspid Aortic Valve Disease,"Aortic Stenosis, Supravalvular",D000082902,D001022,D001017,D000082882,D021921
Pompe Disease,1,Parkinson Disease,Lafora Disease,Fabry Disease,Marek Disease,Alzheimer Disease,D010300,D020192,D000795,D008380,D000544
Influenza And Pneumonia,1,"Pneumonia, Pneumococcal","Pneumonia, Mycoplasma","Pneumonia, Staphylococcal",Influenza in Birds,"Influenza, Human",D011018,D011019,D011023,D005585,D007251
Bacterial pneumonia;influenza A pneumonia,1,"Pneumonia, Pneumococcal","Pneumonia, Staphylococcal","Pneumonia, Mycoplasma","Pneumonia, Ventilator-Associated","Pneumonia, Pneumocystis",D011018,D011023,D011019,D053717,D011020
Inflammatory Myopathy,1,Inflammatory Breast Neoplasms,"Myositis, Inclusion Body","Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",Muscle Cramp,Pelvic Inflammatory Disease,D058922,D018979,D020277,D009120,D000292
Colon Adenoma,1,Colonic Polyps,"Adenoma, Bile Duct",Adrenocortical Adenoma,"Adenoma, Villous",Colitis-Associated Neoplasms,D003111,D002759,D018246,D018253,D000083023
Hepatic Carcinosarcoma,1,Carcinoid Heart Disease,Hepatoblastoma,"Carcinoma, Hepatocellular",Hemangiosarcoma,"Echinococcosis, Hepatic",D002275,D018197,D006528,D006394,D004444
Intrahepatic Cholestasis,1,"Cholestasis, Extrahepatic","Liver Cirrhosis, Biliary",Biliary Atresia,"Jaundice, Obstructive","Jaundice, Chronic Idiopathic",D001651,D008105,D001656,D041781,D007566
Biliary Atresia,1,Biliary Atresia,Intestinal Atresia,Esophageal Atresia,Pulmonary Atresia,Biliary Fistula,D001656,D007409,D004933,D018633,D001658
Complex Regional Pain Syndrome,1,Chronic Pain,"Epilepsy, Complex Partial",Severe Acute Respiratory Syndrome,"Pain, Intractable",Overtraining Syndrome,D059350,D017029,D045169,D010148,D000095027
Adenomatous Polyps,1,Colonic Polyps,Nasal Polyps,"Adenoma, Villous","Adenomatosis, Pulmonary","Adenoma, Oxyphilic",D003111,D009298,D018253,D018255,D018249
Early Proximal Colon Preneoplasia,1,Colonic Polyps,"Colorectal Neoplasms, Hereditary Nonpolyposis",Colitis-Associated Neoplasms,Jejunal Neoplasms,Prostatic Intraepithelial Neoplasia,D003111,D003123,D000083023,D007580,D019048
Squamous Cell Carcinoma In Situ,1,Esophageal Squamous Cell Carcinoma,Adenocarcinoma in Situ,Squamous Cell Carcinoma of Head and Neck,Breast Carcinoma In Situ,Squamous Intraepithelial Lesions of the Cervix,D000077277,D065311,D000077195,D000071960,D065310
Primary Mitochondrial Respiratory Chain Disease,1,Mitochondrial Encephalomyopathies,Pyruvate Dehydrogenase Complex Deficiency Disease,Cytochrome-c Oxidase Deficiency,Primary Graft Dysfunction,Pyruvate Carboxylase Deficiency Disease,D017237,D015325,D030401,D055031,D015324
Androgenetic Alopecia,1,Alopecia Areata,Androgen-Insensitivity Syndrome,Azoospermia,Asthenozoospermia,Feminization,D000506,D013734,D053713,D053627,D005262
Leber Congenital Amaurosis,1,Leber Congenital Amaurosis,Amaurosis Fugax,"Optic Atrophy, Hereditary, Leber","Nystagmus, Congenital","Rubella Syndrome, Congenital",D057130,D020757,D029242,D020417,D012410
Infectious Mononucleosis,1,Infectious Mononucleosis,Infectious Bovine Rhinotracheitis,Equine Infectious Anemia,"Ectromelia, Infectious",Feline Infectious Peritonitis,D007244,D007241,D004859,D004482,D016766
Adrenomyeloneuropathy,1,Adrenoleukodystrophy,Adrenocortical Carcinoma,Syringomyelia,Meningomyelocele,Adrenocortical Adenoma,D000326,D018268,D013595,D008591,D018246
Cerebral Adrenoleukodystrophy,1,Adrenoleukodystrophy,Adrenocortical Carcinoma,Adrenocortical Adenoma,"Leukodystrophy, Metachromatic","Toxoplasmosis, Cerebral",D000326,D018268,D018246,D007966,D016781
Acute Monocytic Leukemia,1,"Leukemia, Monocytic, Acute","Leukemia, Megakaryoblastic, Acute","Leukemia, Myelomonocytic, Acute","Leukemia, Basophilic, Acute","Leukemia, Erythroblastic, Acute",D007948,D007947,D015479,D015471,D004915
Enteritis,1,Enterobiasis,"Enterocolitis, Necrotizing",Enterotoxemia,Enteropathy-Associated T-Cell Lymphoma,"Enterocolitis, Neutropenic",D017229,D020345,D004767,D058527,D044504
Whipple's Disease,1,Whipple Disease,Hirschsprung Disease,Meniere Disease,Weil Disease,Whiplash Injuries,D008061,D006627,D008575,D014895,D014911
Microinvasive Breast Carcinoma,1,Breast Carcinoma In Situ,"Carcinoma, Lobular","Carcinoma, Medullary",Neoplasm Micrometastasis,"Carcinoma, Ductal, Breast",D000071960,D018275,D018276,D061206,D018270
Congenital Muscular Dystrophy (Disorder),1,"Muscular Dystrophy, Duchenne",Congenital Cranial Dysinnervation Disorders,Congenital Disorders of Glycosylation,"Myasthenic Syndromes, Congenital","Muscular Dystrophy, Oculopharyngeal",D020388,D000093922,D018981,D020294,D039141
Intravascular Large B-Cell Lymphoma,1,"Lymphoma, Large-Cell, Immunoblastic",Plasmablastic Lymphoma,Immunoblastic Lymphadenopathy,"Lymphoma, Large-Cell, Anaplastic","Lymphoma, B-Cell, Marginal Zone",D016400,D000069293,D007119,D017728,D018442
Sebaceous Hyperplasia,1,Hyperplasia,Endometrial Hyperplasia,Thymus Hyperplasia,Gingival Hyperplasia,Prostatic Hyperplasia,D006965,D004714,D013952,D005885,D011470
Paroxysmal Kinesigenic Dyskinesia,1,Nocturnal Paroxysmal Dystonia,Paroxysmal Hemicrania,"Dyspnea, Paroxysmal","Hemoglobinuria, Paroxysmal",Benign Paroxysmal Positional Vertigo,D020183,D051302,D004418,D006457,D065635
Extrapulmonary Tuberculosis,1,"Tuberculosis, Pleural","Tuberculosis, Laryngeal","Tuberculosis, Miliary","Tuberculosis, Cutaneous","Tuberculosis, Ocular",D014396,D014387,D014391,D014382,D014392
Dyskeratosis Congenita,1,Dyskeratosis Congenita,Pachyonychia Congenita,Dysgerminoma,Parakeratosis,Myotonia Congenita,D019871,D053549,D004407,D010241,D009224
Congenital Anomalies of Kidney And Urinary Tract 1,1,Renal Nutcracker Syndrome,"Cystic Adenomatoid Malformation of Lung, Congenital","Rubella Syndrome, Congenital","Polycystic Kidney, Autosomal Dominant","Polycystic Kidney, Autosomal Recessive",D059228,D015615,D012410,D016891,D017044
Teratoma,1,Teratocarcinoma,Teratogenesis,Teratozoospermia,Thymoma,Seminoma,D018243,D064793,D000072660,D013945,D018239
Postpartum Depression,1,"Depression, Postpartum",Postpartum Hemorrhage,Postpartum Thyroiditis,"Osteoporosis, Postmenopausal",Anhedonia,D019052,D006473,D050032,D015663,D059445
Type A Aortic Dissection,1,"Dissection, Ascending Aorta","Dissection, Abdominal Aorta",Descending Thoracic Aortic Aneurysm,"Aneurysm, Ascending Aorta",Aortic Rupture,D000094630,D000094631,D000094627,D000094625,D001019
Myopathy,1,Myocarditis,Myotonic Dystrophy,Distal Myopathies,"Myopathy, Central Core","Myopathies, Nemaline",D009205,D009223,D049310,D020512,D017696
Idiopathic Non-Cirrhotic Portal Hypertension,1,Idiopathic Noncirrhotic Portal Hypertension,"Jaundice, Chronic Idiopathic","Liver Cirrhosis, Alcoholic",Non-alcoholic Fatty Liver Disease,"Liver Cirrhosis, Biliary",D000094724,D007566,D008104,D065626,D008105
Obsessive-Compulsive Disorder,1,Cerebrospinal Fluid Otorrhea,Empty Sella Syndrome,Cocaine-Related Disorders,Crohn Disease,Amphetamine-Related Disorders,D002558,D004652,D019970,D003424,D019969
Chronic Small Plaque Psoriasis,1,Chronic Periodontitis,Smallpox,"Pemphigus, Benign Familial",Pulmonary Subvalvular Stenosis,Chronic Pain,D055113,D012899,D016506,D011662,D059350
Alpha-1 Antitrypsin Deficiency,1,alpha 1-Antitrypsin Deficiency,Antithrombin III Deficiency,IgA Deficiency,alpha-Thalassemia,Factor XII Deficiency,D019896,D020152,D017098,D017085,D005175
Injury of Liver,1,Lung Injury,"Chemical and Drug Induced Liver Injury, Chronic",Hepatic Infarction,"Liver Cirrhosis, Alcoholic","Liver Cirrhosis, Biliary",D055370,D056487,D000081011,D008104,D008105
Chronic Granulomatous Disease,1,"Granulomatous Disease, Chronic",Chronic Periodontitis,Granulomatous Mastitis,"Wasting Disease, Chronic","Candidiasis, Chronic Mucocutaneous",D006105,D055113,D058890,D034081,D002178
Lipodystrophy,1,HIV-Associated Lipodystrophy Syndrome,"Lipodystrophy, Familial Partial","Leukodystrophy, Metachromatic","Lipodystrophy, Congenital Generalized",Odontodysplasia,D039682,D052496,D007966,D052497,D018126
Dermatitis,1,Digital Dermatitis,"Dermatitis, Occupational","Dermatitis, Atopic",Dermatitis Herpetiformis,"Dermatitis, Seborrheic",D058066,D009783,D003876,D003874,D012628
Diffuse Sclerosis,1,"Scleroderma, Diffuse",Diffuse Cerebral Sclerosis of Schilder,Sclerosis,"Leishmaniasis, Diffuse Cutaneous","Esophageal Spasm, Diffuse",D045743,D002549,D012598,D016774,D015155
Acute Alcoholic Hepatitis,1,"Hepatitis, Alcoholic","Liver Cirrhosis, Alcoholic","Fatty Liver, Alcoholic",Acute Disease,Alcoholic Intoxication,D006519,D008104,D005235,D000208,D000435
Eosinophilic Granulomatosis With Polyangiitis,1,Granulomatosis with Polyangiitis,Eosinophilic Granuloma,Microscopic Polyangiitis,Lymphomatoid Granulomatosis,Angiolymphoid Hyperplasia with Eosinophilia,D014890,D004803,D055953,D008230,D000796
Multiple Suture Craniosynostosis,1,"Fractures, Multiple","Hamartoma Syndrome, Multiple",Multiple Pulmonary Nodules,Familial Multiple Lipomatosis,"Lipomatosis, Multiple Symmetrical",D000069076,D006223,D055613,D000071070,D008069
Adenoid Cystic Carcinoma,1,"Carcinoma, Adenoid Cystic","Carcinoma, Adenosquamous",Adenosarcoma,Nasopharyngeal Carcinoma,Adenomyoma,D003528,D018196,D018195,D000077274,D018194
Anaplastic Pleomorphic Xanthoastrocytoma,1,"Xanthogranuloma, Juvenile",Neurocytoma,"Adenoma, Pleomorphic","Thyroid Carcinoma, Anaplastic","Lymphoma, Primary Cutaneous Anaplastic Large Cell",D014972,D018306,D008949,D065646,D054446
Pancreatic Intraductal Papillary Mucinous Neoplasm,1,Pancreatic Intraductal Neoplasms,"Carcinoma, Pancreatic Ductal","Papilloma, Intraductal","Cystadenocarcinoma, Papillary",Duodenal Neoplasms,D000077779,D021441,D018300,D018283,D004379
Temporal Lobe Epilepsy,1,"Epilepsy, Temporal Lobe","Epilepsy, Frontal Lobe",Hippocampal Sclerosis,"Epilepsy, Rolandic","Epilepsy, Absence",D004833,D017034,D000092223,D019305,D004832
Chordoma,1,Chordoma,Rhabdomyoma,Cementoma,Prolactinoma,Leiomyomatosis,D002817,D012207,D002485,D015175,D018231
Infection By Leishmania Braziliensis,1,"Leishmaniasis, Mucocutaneous","Leishmaniasis, Visceral",Henipavirus Infections,"Leishmaniasis, Diffuse Cutaneous",Zika Virus Infection,D007897,D007898,D045464,D016774,D000071243
Lower Respiratory Tract Infections,1,Reproductive Tract Infections,Respiratory Syncytial Virus Infections,Pseudomonas Infections,Severe Acute Respiratory Syndrome,Respiratory Paralysis,D060737,D018357,D011552,D045169,D012133
Adhesive Capsulitis,1,Capsule Opacification,Ischemic Contracture,Tissue Adhesions,Acalculous Cholecystitis,"Aphakia, Postcataract",D058442,D054061,D000267,D042101,D001036
Chronic Pancreatitis,1,Chronic Periodontitis,Autoimmune Pancreatitis,"Pancreatitis, Acute Necrotizing","Pancreatitis, Alcoholic",Chronic Pain,D055113,D000081012,D019283,D019512,D059350
Unstable Angina Pectoris,1,"Angina Pectoris, Variant","Angina, Stable",Microvascular Angina,Coronary Artery Disease,Ludwig's Angina,D000788,D060050,D017566,D003324,D008158
Respiratory Bronchiolitis Interstitial Lung Disease,1,Bronchiolitis Obliterans Syndrome,"Bronchiolitis, Viral",Infectious Bovine Rhinotracheitis,"Adenocarcinoma, Bronchiolo-Alveolar",Porcine Reproductive and Respiratory Syndrome,D000092122,D001990,D007241,D002282,D019318
Pleomorphic Xanthoastrocytoma,1,"Xanthogranuloma, Juvenile","Pyelonephritis, Xanthogranulomatous",Neurocytoma,Myelolipoma,"Adenoma, Pleomorphic",D014972,D011705,D018306,D018209,D008949
Mast Cell Leukemia;Chronic Erythroblastic Leukemia,1,"Leukemia, Erythroblastic, Acute","Leukemia, Mast-Cell","Leukemia, Neutrophilic, Chronic","Leukemia, Myelomonocytic, Chronic","Leukemia, Eosinophilic, Acute",D004915,D007946,D015467,D015477,D015472
Temple Syndrome,1,Syndrome,Severe Fever with Thrombocytopenia Syndrome,Turner Syndrome,Tietze's Syndrome,Job Syndrome,D013577,D000085142,D014424,D013991,D007589
Spinocerebellar Ataxia Type 10,1,Cerebellar Ataxia,"Bulbo-Spinal Atrophy, X-Linked",Gait Ataxia,Oculocerebrorenal Syndrome,Ataxia Telangiectasia,D002524,D055534,D020234,D009800,D001260
Vascular Ehlers-Danlos Syndrome,1,"Ehlers-Danlos Syndrome, Type IV",Dandy-Walker Syndrome,Ellis-Van Creveld Syndrome,Peutz-Jeghers Syndrome,Hepatic Veno-Occlusive Disease,D000094623,D003616,D004613,D010580,D006504
Henoch-Schonlein Purpura Nephritis,1,"Nephritis, Hereditary",Lupus Nephritis,"Panniculitis, Lupus Erythematosus",Purpura Fulminans,Kimura Disease,D009394,D008181,D015435,D055665,D000082242
Myositis,1,Myositis Ossificans,"Myositis, Inclusion Body",Myotonia,Myotonia Congenita,Myoclonus,D009221,D018979,D009222,D009224,D009207
Primary Antiphospholipid Syndrome,1,Antiphospholipid Syndrome,Primary Graft Dysfunction,Autoimmune Lymphoproliferative Syndrome,Primary Myelofibrosis,Posterior Leukoencephalopathy Syndrome,D016736,D055031,D056735,D055728,D054038
Progressive Diabetic Kidney Disease,1,Diabetic Nephropathies,Diabetic Retinopathy,Diabetic Neuropathies,Diabetic Cardiomyopathies,"Multiple Sclerosis, Chronic Progressive",D003928,D003930,D003929,D058065,D020528
Metastatic Adenocarcinoma,1,"Adenocarcinoma, Bronchiolo-Alveolar",Neoplasm Micrometastasis,Lymphatic Metastasis,"Carcinoma, Medullary","Carcinoma, Pancreatic Ductal",D002282,D061206,D008207,D018276,D021441
Chagas Cardiomyopathy,1,Chagas Cardiomyopathy,"Cardiomyopathy, Dilated",Cardiotoxicity,Takotsubo Cardiomyopathy,"Cardiomyopathy, Alcoholic",D002598,D002311,D066126,D054549,D002310
Premature Aging,1,"Aging, Premature",Premature Birth,Premature Ejaculation,"Menopause, Premature",Frailty,D019588,D047928,D061686,D008594,D000073496
B-Cell Expansion With Nfkb And T-Cell Anergy,1,"Lymphoma, Extranodal NK-T-Cell",Enteropathy-Associated T-Cell Lymphoma,"T-Lymphocytopenia, Idiopathic CD4-Positive","Lymphoma, B-Cell, Marginal Zone",Immune Reconstitution Inflammatory Syndrome,D054391,D058527,D018344,D018442,D054019
Microtia,1,Congenital Microtia,"Microtrauma, Physical",Mycetoma,"Impotence, Vasculogenic",Microstomia,D065817,D000070617,D008271,D018783,D008865
Lung Carcinoma,1,"Carcinoma, Lewis Lung","Carcinoma, Non-Small-Cell Lung",Small Cell Lung Carcinoma,"Carcinoma, Lobular","Carcinoma, Adenosquamous",D018827,D002289,D055752,D018275,D018196
Cardiac Hypoxia,1,Fetal Hypoxia,Cardiotoxicity,"Hypoxia-Ischemia, Brain","Edema, Cardiac","Cardiomyopathy, Restrictive",D005311,D066126,D020925,D004489,D002313
Plaa-Associated Neurodevelopmental Disorder,1,"Plagiocephaly, Nonsynostotic",Plague,Cryopyrin-Associated Periodic Syndromes,Trisomy 18 Syndrome,Congenital Cranial Dysinnervation Disorders,D049068,D010930,D056587,D000073842,D000093922
Cerebral Infarction,1,"Infarction, Anterior Cerebral Artery","Infarction, Middle Cerebral Artery",Pulmonary Infarction,"Infarction, Posterior Cerebral Artery",Hepatic Infarction,D020243,D020244,D054060,D020762,D000081011
Protein C Deficiency,1,Protein C Deficiency,Protein S Deficiency,Activated Protein C Resistance,Cytochrome-c Oxidase Deficiency,Hemoglobin C Disease,D020151,D018455,D020016,D030401,D006445
Pregnancy Loss,1,Embryo Loss,Tooth Loss,"Pregnancy Complications, Parasitic",Placental Insufficiency,Periodontal Attachment Loss,D020964,D016388,D015597,D010927,D017622
Retinal Pigment Epithelium,1,Epiretinal Membrane,Retinal Degeneration,Retinal Detachment,Retinoschisis,Xeroderma Pigmentosum,D019773,D012162,D012163,D041441,D014983
Respiratory System Disease,1,Severe Acute Respiratory Syndrome,Respiratory Paralysis,Respiratory Syncytial Virus Infections,Porcine Reproductive and Respiratory Syndrome,Bronchiolitis Obliterans Syndrome,D045169,D012133,D018357,D019318,D000092122
